Price,Company,TypeName,Ghz,Cpu-brand,Gpu-brand,Ram,OS,Weight,Touchscreen,Ips,Retina,PPI,Memory,HDD,SSD,Hybrid,Flash_Storage,PriceCategory
20725.92,HP,Notebook,1.6,Other Intel Processor,Intel,8,Windows,1.94,0,0,0,111.93520355955212,2000,1,0,0,0,Entry
20779.2,Acer,Notebook,2.0,Intel Core i3,Intel,4,Others,2.1,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
20965.1472,Dell,Notebook,1.6,Other Intel Processor,Intel,4,Others,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
20986.992,HP,Notebook,2.5,Intel Core i5,Intel,4,Others,1.86,0,0,0,100.45466986113652,500,1,0,0,0,Entry
21045.6,Acer,Notebook,3.0,AMD Processor,AMD,4,Windows,2.1,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
21152.16,HP,Notebook,2.0,Intel Core i3,Intel,4,Windows,1.86,0,0,0,141.21199808219862,500,1,0,0,0,Entry
21205.44,Lenovo,Notebook,2.3,Intel Core i5,Intel,4,Others,2.1,0,0,0,100.45466986113652,500,1,0,0,0,Entry
21205.44,HP,Notebook,2.5,AMD Processor,AMD,4,Windows,2.1,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
21231.5472,HP,Notebook,2.5,AMD Processor,AMD,4,Windows,1.86,0,0,0,141.21199808219862,256,0,1,0,0,Entry
21258.1872,HP,Notebook,1.6,Other Intel Processor,Intel,4,Windows,1.86,0,0,0,141.21199808219862,256,0,1,0,0,Entry
21258.1872,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Others,2.0,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
21258.1872,Asus,Notebook,2.4,Intel Core i3,Intel,4,Windows,2.37,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
21258.72,Lenovo,Notebook,2.9,AMD Processor,AMD,4,Windows,2.2,0,0,0,141.21199808219862,256,0,1,0,0,Entry
21258.72,HP,Notebook,2.5,AMD Processor,AMD,4,Windows,1.86,0,0,0,100.45466986113652,500,1,0,0,0,Entry
21258.72,Lenovo,Notebook,2.5,AMD Processor,AMD,4,Windows,2.2,0,0,0,141.21199808219862,128,0,1,0,0,Entry
21258.72,Asus,Notebook,1.1,Other Intel Processor,Intel,8,Windows,2.0,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
21312.0,Acer,Notebook,3.0,AMD Processor,AMD,4,Windows,2.1,0,0,0,100.45466986113652,500,1,0,0,0,Entry
21471.84,Asus,Notebook,3.0,AMD Processor,AMD,4,Windows,2.03,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
21498.48,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Others,1.85,0,0,0,141.21199808219862,128,0,1,0,0,Entry
21791.52,Acer,Notebook,3.0,AMD Processor,AMD,6,Windows,2.1,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
21791.52,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Windows,2.2,0,0,0,141.21199808219862,500,1,0,0,0,Entry
21887.424,Acer,Notebook,2.0,Intel Core i3,Intel,4,Windows,2.4,0,0,0,100.45466986113652,500,1,0,0,0,Entry
21951.36,Acer,Notebook,2.0,Intel Core i3,Intel,4,Others,2.1,0,0,0,100.45466986113652,128,0,1,0,0,Entry
22105.872,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Windows,1.85,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
22111.2,Asus,Notebook,2.0,Intel Core i3,Intel,4,Others,2.0,0,0,0,141.21199808219862,256,0,1,0,0,Entry
22305.1392,Dell,Notebook,2.0,Intel Core i3,Intel,4,Windows,2.3,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
22324.32,Lenovo,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
22324.32,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,1.86,0,0,0,100.45466986113652,128,0,1,0,0,Entry
22697.28,Acer,Notebook,3.0,AMD Processor,AMD,4,Windows,2.1,0,0,0,100.45466986113652,128,0,1,0,0,Entry
22803.84,Dell,Notebook,2.0,Intel Core i3,AMD,4,Others,2.25,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
22857.12,Lenovo,Notebook,3.6,AMD Processor,AMD,8,Windows,2.2,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
22857.12,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Windows,2.1,0,0,0,100.45466986113652,128,0,1,0,0,Entry
23176.8,Asus,Notebook,2.4,Intel Core i3,Intel,4,Windows,2.0,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
23176.8,Acer,Netbook,1.6,Other Intel Processor,Intel,4,Windows,1.4,0,0,0,135.0942111925629,128,0,1,0,0,Entry
23373.4032,HP,Notebook,2.0,Intel Core i3,AMD,4,Windows,1.86,0,0,0,100.45466986113652,500,1,0,0,0,Entry
23389.92,HP,Notebook,2.0,Intel Core i3,Intel,4,Windows,1.91,0,0,0,141.21199808219862,128,0,1,0,0,Entry
23389.92,HP,Notebook,2.5,AMD Processor,AMD,4,Windows,2.71,0,0,0,127.33567457123112,500,1,0,0,0,Entry
23389.92,HP,Notebook,2.0,Intel Core i3,Intel,4,Windows,1.86,0,0,0,100.45466986113652,500,1,0,0,0,Entry
23389.92,Dell,Notebook,2.4,Intel Core i3,Intel,6,Windows,2.3,1,0,0,100.45466986113652,1000,1,0,0,0,Entry
23539.104,Acer,Notebook,2.5,Intel Core i5,Intel,4,Others,2.4,0,0,0,100.45466986113652,500,1,0,0,0,Entry
23650.992,Dell,Notebook,2.0,Intel Core i3,Intel,4,Others,2.18,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
23655.7872,Dell,Notebook,1.6,Other Intel Processor,Intel,4,Windows,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
23656.32,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Others,2.2,0,0,0,141.21199808219862,256,0,1,0,0,Entry
23757.552,HP,Notebook,2.5,AMD Processor,AMD,8,Windows,1.91,0,0,0,100.45466986113652,128,0,1,0,0,Entry
23816.16,Acer,Notebook,2.0,Intel Core i3,Intel,4,Windows,2.1,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
23816.16,Toshiba,Notebook,2.2,Intel Core i3,Intel,4,Windows,2.1,0,0,0,100.45466986113652,500,1,0,0,0,Entry
23922.72,Acer,Notebook,2.0,Intel Core i3,Intel,4,Windows,2.1,0,0,0,100.45466986113652,128,0,1,0,0,Entry
23922.72,Dell,Notebook,2.0,Intel Core i3,AMD,4,Windows,2.2,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
23922.72,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Windows,1.85,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
23922.72,Acer,Notebook,2.2,AMD Processor,AMD,8,Windows,2.4,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
23922.72,Chuwi,Notebook,1.1,Other Intel Processor,Intel,6,Windows,1.4,0,1,1,267.3384360344031,64,0,0,0,1,Entry
23922.72,Asus,Notebook,1.1,Other Intel Processor,Intel,4,Windows,2.0,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
23976.0,Acer,Notebook,2.0,Intel Core i3,Intel,4,Windows,2.4,0,0,0,100.45466986113652,500,1,0,0,0,Entry
23976.0,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Others,1.9,0,0,0,100.45466986113652,500,1,0,0,0,Entry
24029.28,Acer,Notebook,3.0,AMD Processor,AMD,4,Windows,2.1,0,0,0,100.45466986113652,256,0,1,0,0,Entry
24279.696,Dell,Notebook,2.0,Intel Core i3,AMD,4,Others,2.18,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
24455.52,Lenovo,Notebook,2.0,Intel Core i3,Intel,8,Windows,2.2,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
24455.52,Lenovo,Notebook,2.0,Intel Core i3,Nvidia,8,Others,2.2,0,0,0,100.45466986113652,2000,1,0,0,0,Entry
24455.52,Lenovo,Notebook,2.3,Intel Core i3,Intel,8,Windows,2.29,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
24455.52,Dell,Notebook,2.4,Intel Core i3,Intel,8,Windows,2.3,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
24455.52,Dell,Notebook,2.4,Intel Core i3,Intel,6,Windows,2.3,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
24503.472,Lenovo,Notebook,1.6,Other Intel Processor,Intel,4,Others,1.45,0,0,0,117.82653006268644,16,0,0,0,1,Entry
24634.008,Lenovo,Notebook,2.3,Intel Core i5,Intel,4,Others,2.15,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
24775.2,Dell,Notebook,2.0,Intel Core i3,AMD,4,Others,2.18,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
24808.2336,Dell,Notebook,2.0,Intel Core i3,AMD,4,Others,2.25,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
24828.48,Asus,Notebook,1.1,Other Intel Processor,Nvidia,4,Windows,2.8,0,0,0,90.58340172449304,1000,1,0,0,0,Entry
24881.76,Lenovo,Notebook,2.5,Intel Core i5,Intel,4,Others,2.2,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
24935.04,Lenovo,Notebook,2.0,Intel Core i3,Nvidia,4,Windows,2.2,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
24935.04,Lenovo,Notebook,2.5,Intel Core i5,Intel,4,Others,2.2,0,0,0,141.21199808219862,128,0,1,0,0,Entry
24988.32,Acer,Notebook,2.0,Intel Core i3,Nvidia,4,Windows,2.2,0,0,0,100.45466986113652,500,1,0,0,0,Entry
24988.32,Asus,Notebook,3.0,AMD Processor,AMD,4,Windows,1.68,0,0,0,100.45466986113652,1000,1,0,0,0,Entry
24988.32,Acer,Notebook,2.2,AMD Processor,AMD,8,Windows,2.23,0,0,0,141.21199808219862,256,0,1,0,0,Entry
24988.32,Lenovo,Notebook,2.0,Intel Core i3,Intel,4,Others,2.2,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
24988.32,HP,Notebook,2.0,Intel Core i3,Intel,4,Windows,1.86,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
24988.32,HP,Notebook,2.0,Intel Core i3,AMD,4,Windows,2.1,0,0,0,141.21199808219862,1000,1,0,0,0,Entry
24988.8528,Dell,Notebook,2.4,Intel Core i3,Intel,8,Windows,2.3,1,0,0,100.45466986113652,1000,1,0,0,0,Entry
25059.715199999995,Asus,Notebook,1.1,Other Intel Processor,Nvidia,4,Windows,2.8,0,0,0,90.58340172449304,1000,1,0,0,0,Entry
25308.0,Lenovo,Netbook,1.6,Other Intel Processor,Intel,4,Windows,1.4,1,0,0,135.0942111925629,128,0,1,0,0,Entry
